,First,End,FirstWord,EndWord,FirstCUI,EndCUI,Distance,ScoreUMLS,Sentence,Document,Label
0,96,101,risk factor,smoking,C0035648,C0037369,15,0,17,30391213,RO
1,152,153,French Medical Information Systems Program,système d’information,C0021428,C0021428,6,0,26,30391213,SY
2,152,154,French Medical Information Systems Program,database,C0021428,C0242356,8,0,26,30391213,RQ
3,152,154,French Medical Information Systems Program,database,C0021428,C0242356,8,0,26,30391213,CHD
4,152,154,French Medical Information Systems Program,database,C0021428,C0242356,8,0,26,30391213,RN
5,153,154,système d’information,database,C0021428,C0242356,1,0,26,30391213,RQ
6,153,154,système d’information,database,C0021428,C0242356,1,0,26,30391213,CHD
7,153,154,système d’information,database,C0021428,C0242356,1,0,26,30391213,RN
8,157,158,procedure,Classification Commune,C0025664,C0008902,1,0,26,30391213,QB
9,208,210,score,total score,C0449820,C2964552,11,0,31,30391213,CHD
10,268,272,peritoneal cavity,peritoneal,C1704247,C0031153,11,0,43,30391213,PAR
11,268,272,peritoneal cavity,peritoneal,C1704247,C0031153,11,0,43,30391213,CHD
12,268,272,peritoneal cavity,peritoneal,C1704247,C0031153,11,0,43,30391213,RO
13,268,272,peritoneal cavity,peritoneal,C1704247,C0031153,11,0,43,30391213,RN
14,269,272,mesenteric axis,peritoneal,C0025474,C0031153,7,1,43,30391213,PAR
15,269,272,mesenteric axis,peritoneal,C0025474,C0031153,7,1,43,30391213,RB
16,269,274,mesenteric axis,mesocolon,C0025474,C0025483,11,0,43,30391213,CHD
17,276,278,right colon,hepatic flexure,C1305188,C0227375,11,1,44,30391213,RO
18,276,278,right colon,hepatic flexure,C1305188,C0227375,11,1,44,30391213,RN
19,312,315,peritoneal cavity,laparoscopic control,C1704247,C0031150,8,1,49,30391213,RO
20,317,318,incision,transverse laparotomy,C0184898,C0023038,4,4,51,30391213,CHD
21,317,318,incision,transverse laparotomy,C0184898,C0023038,4,4,51,30391213,RN
22,317,319,incision,midline laparotomy,C0184898,C0023038,8,4,51,30391213,CHD
23,317,319,incision,midline laparotomy,C0184898,C0023038,8,4,51,30391213,RN
24,318,319,transverse laparotomy,midline laparotomy,C0023038,C0023038,3,4,51,30391213,SY
25,323,327,right colon,hepatic flexure,C1305188,C0227375,14,0,52,30391213,RO
26,323,327,right colon,hepatic flexure,C1305188,C0227375,14,0,52,30391213,RN
27,327,331,hepatic flexure,transverse colon,C0227375,C0227386,13,0,52,30391213,RO
28,359,361,p-value,statistically significant,C1709380,C0237881,5,0,61,30391213,RO
29,526,528,vascular axis,vascular state,C0005847,C0005847,6,1,92,30391213,RQ
30,526,528,vascular axis,vascular state,C0005847,C0005847,6,1,92,30391213,SY
31,575,576,vascular axis,vascularization,C0005847,C0027686,3,1,100,30391213,RO
32,607,611,vascular axis,arterial,C0005847,C0003842,11,0,106,30391213,CHD
33,607,611,vascular axis,arterial,C0005847,C0003842,11,0,106,30391213,RO
34,607,611,vascular axis,arterial,C0005847,C0003842,11,0,106,30391213,RN
35,610,614,evaluation,static examination,C0220825,C0031809,13,0,106,30391213,RO
36,624,625,anastomotic region,anastomotic leak,C0677554,C0919691,3,4,108,30391213,RO
37,673,676,mortality,die,C0026565,C0011065,5,1,119,30391213,RO
38,699,704,anastomotic leak,staple anastomosis,C0919691,C0677554,9,2,124,30391213,RO
39,36,37,celiac trunk,left gastric artery,C0007569,C0226298,7,0,7,25630664,CHD
40,36,37,celiac trunk,left gastric artery,C0007569,C0226298,7,0,7,25630664,RO
41,105,108,splenic artery,left gastro-omental artery,C0037996,C0226314,13,0,21,25630664,CHD
42,105,108,splenic artery,left gastro-omental artery,C0037996,C0226314,13,0,21,25630664,RO
43,70,73,endoscopy group,endoscopic,C0014245,C0014245,6,1,11,21904963,RQ
44,70,73,endoscopy group,endoscopic,C0014245,C0014245,6,1,11,21904963,SY
45,131,137,neck,cervical,C0027530,C0027530,16,1,22,21904963,RQ
46,131,137,neck,cervical,C0027530,C0027530,16,1,22,21904963,SY
47,135,138,neck,cervical,C0027530,C0027530,7,1,22,21904963,RQ
48,135,138,neck,cervical,C0027530,C0027530,7,1,22,21904963,SY
49,172,180,treatment,preservation,C0087111,C0033085,20,0,26,21904963,CHD
50,197,202,surgical reoperation,operation,C0035110,C0543467,12,0,29,21904963,PAR
51,197,202,surgical reoperation,operation,C0035110,C0543467,12,0,29,21904963,RO
52,209,212,surgical reoperation,operation,C0035110,C0543467,12,1,30,21904963,PAR
53,209,212,surgical reoperation,operation,C0035110,C0543467,12,1,30,21904963,RO
54,211,212,operate room,operation,C0029064,C0543467,3,0,30,21904963,RQ
55,211,212,operate room,operation,C0029064,C0543467,3,0,30,21904963,RO
56,230,235,management,endoscopic management,C0001554,C0001554,11,0,33,21904963,SY
57,315,317,endoscope,endoscopic grasper,C0014243,C0014245,6,3,48,21904963,RO
58,339,341,chest tube,chest drainage,C0008034,C0008034,8,3,53,21904963,SY
59,394,395,chest tube,chest drainage,C0008034,C0008034,4,0,64,21904963,SY
60,406,409,sternocleidomastoid muscle,neck,C0224153,C0027530,9,1,68,21904963,RO
61,411,414,laparoscopy,intraabdominally,C0031150,C0230168,10,1,69,21904963,RO
62,627,631,endoscopic management,management,C0001554,C0001554,11,0,106,21904963,SY
63,648,651,outpatient setting,patient,C0029921,C0030705,5,1,107,21904963,PAR
64,648,651,outpatient setting,patient,C0029921,C0030705,5,1,107,21904963,RO
65,648,651,outpatient setting,patient,C0029921,C0030705,5,1,107,21904963,RB
66,822,823,treat with,treatment,C0332293,C0087111,2,0,129,21904963,RB
67,834,836,endoscopic stenting,intervention,C0014245,C0184661,9,3,131,21904963,PAR
68,884,885,treatment,anastomotic leak,C0039798,C0919691,2,0,138,21904963,QB
69,919,920,treatment,empyema,C0039798,C0014009,3,0,141,21904963,QB
70,1030,1031,treatment,anastomotic leak,C0039798,C0919691,2,0,157,21904963,QB
71,1046,1047,treatment,ecs,C0087111,C0013806,2,0,159,21904963,CHD
72,1046,1047,treatment,ecs,C0087111,C0013806,2,0,159,21904963,RN
73,1072,1074,endoscopic stenting,drastic procedure,C0014245,C0184661,5,3,164,21904963,PAR
74,1088,1089,treatment,anastomotic leak,C0039798,C0919691,2,0,165,21904963,QB
75,1148,1154,fistula,tracheoesophageal fistula,C0016169,C0040588,18,1,174,21904963,CHD
76,1223,1226,retrospective,retrospective study,C0035363,C0035363,11,0,187,21904963,SY
77,0,4,urinary ascite,peritoneum,C0003962,C0031153,11,0,0,25669737,RO
78,16,17,renal function,excrete,C0232804,C0221102,5,3,2,25669737,RO
79,17,18,excrete,urine,C0221102,C0042036,3,3,2,25669737,RN
80,85,90,urethral catheter,catheter,C0179800,C0085590,14,0,11,25669737,RB
81,101,105,serum creatinine,GFR,C0201976,C0017654,12,0,13,25669737,RO
82,110,113,serum creatinine,gfr,C0201976,C0017654,7,0,14,25669737,RO
83,167,171,bladder cancer,urologic,C0005684,C0042077,10,0,24,25669737,PAR
84,185,191,peritoneum,urinary ascite,C0031153,C0003962,14,0,26,25669737,RO
85,185,192,peritoneum,peritoneal membrane,C0031153,C0031153,18,1,26,25669737,RQ
86,185,192,peritoneum,peritoneal membrane,C0031153,C0031153,18,1,26,25669737,SY
87,200,208,creatinine,serum creatinine,C0010294,C0201976,17,0,27,25669737,RO
88,217,220,surgeon,operation,C0582175,C0543467,7,0,28,25669737,RO
89,223,226,fluid,ascitic fluid,C0005889,C0003964,8,0,28,25669737,CHD
90,223,226,fluid,ascitic fluid,C0005889,C0003964,8,0,28,25669737,RN
91,236,238,surgery,drain,C0543467,C0013103,10,0,30,25669737,CHD
92,350,352,excrete,urine,C0221102,C0042036,4,0,43,25669737,RN
93,357,358,cystatin c,protein,C0071744,C0033684,5,2,44,25669737,PAR
94,369,370,excrete,urine,C0221102,C0042036,3,3,45,25669737,RN
95,373,375,peritoneal membrane,urinary ascite,C0031153,C0003962,4,0,45,25669737,RO
96,382,384,trauma,surgery,C0043251,C0543467,8,0,46,25669737,RB
97,35,38,anastomosis,anastomotic repair,C0332853,C0677554,12,0,8,26886935,RO
98,38,40,anastomotic repair,anastomosis,C0677554,C0332853,5,1,8,26886935,RO
99,46,49,fatty abdominal wall,abdominal wall,C0836916,C0836916,8,0,9,26886935,RQ
100,46,49,fatty abdominal wall,abdominal wall,C0836916,C0836916,8,0,9,26886935,SY
101,46,49,fatty abdominal wall,abdominal wall,C0836916,C0836916,8,0,9,26886935,RO
102,67,69,operation,midline laparotomy,C0543467,C0023038,5,1,12,26886935,CHD
103,157,160,bowel,small bowel,C0021853,C0021852,12,0,30,26886935,CHD
104,157,160,bowel,small bowel,C0021853,C0021852,12,0,30,26886935,RO
105,157,160,bowel,small bowel,C0021853,C0021852,12,0,30,26886935,RN
106,206,211,end ostomy,ostomy,C0029473,C0029473,11,1,36,26886935,RQ
107,206,211,end ostomy,ostomy,C0029473,C0029473,11,1,36,26886935,SY
108,219,223,duodenal stump,insecure duodenal,C0013303,C0013303,7,0,39,26886935,RQ
109,219,223,duodenal stump,insecure duodenal,C0013303,C0013303,7,0,39,26886935,SY
110,17,21,risk factor,smoking,C0035648,C0037369,11,0,4,25910885,RO
111,141,144,smoking,risk factor,C0037369,C0035648,5,0,24,25910885,RO
112,147,148,retrospective,cohort study,C0035363,C0009247,1,0,25,25910885,PAR
113,195,196,level of anastomosis,anastomotic leak test,C0677554,C0919691,3,0,29,25910885,RO
114,200,205,diabetes mellitus,radiation therapy,C0011849,C0034619,14,2,29,25910885,AQ
115,201,205,history of chronic obstructive pulmonary disease,radiation therapy,C0024117,C0034619,8,2,29,25910885,AQ
116,202,204,steroid,chemotherapy,C0038317,C0013216,4,0,29,25910885,PAR
117,211,212,smoker,smoke,C0337664,C0037369,5,0,31,25910885,RO
118,334,335,sd,standard deviation,C0037717,C0871420,1,0,58,25910885,RO
119,359,364,operation,endoscopically,C0543467,C0014245,10,1,64,25910885,RO
120,386,387,sd,standard deviation,C0037717,C0871420,1,0,69,25910885,RO
121,505,512,smoking,risk factor,C0037369,C0035648,17,0,93,25910885,RO
122,545,548,cancer,risk factor,C0006826,C0035648,11,0,98,25910885,RO
123,566,567,smoking,risk factor,C0037369,C0035648,5,0,100,25910885,RO
124,567,574,risk factor,multiple risk factor,C0035648,C0035648,16,1,100,25910885,RQ
125,567,574,risk factor,multiple risk factor,C0035648,C0035648,16,1,100,25910885,SY
126,587,590,hospital stay,length of stay,C3489408,C0023303,8,0,101,25910885,RB
127,669,676,nicotine,smoking,C0028040,C0037369,16,0,109,25910885,RQ
128,669,676,nicotine,smoking,C0028040,C0037369,16,0,109,25910885,RO
129,676,683,smoking,smoke cessation,C0037369,C0085134,18,0,109,25910885,RO
130,699,702,risk factor,smoking,C0035648,C0037369,8,0,113,25910885,RO
131,745,751,former smoker,smoking,C0337671,C0037369,19,0,120,25910885,RO
132,43,45,colorectal anastomotic leak,anastomotic leak,C0919691,C0919691,7,9,5,23690209,SY
133,129,132,operation,surgical intervention,C0543467,C0549433,12,4,18,23690209,RO
134,196,198,rectal surgery,intestinal tract,C2608114,C0021853,12,4,25,23690209,RO
135,294,297,surgeon,operation,C0582175,C0543467,13,1,40,23690209,RO
136,295,297,ostomy,operation,C0029473,C0543467,7,4,40,23690209,PAR
137,489,494,disease-free,disease-free survival,C0242793,C0242793,15,0,67,23690209,SY
138,590,594,radiation therapy,tumor,C0034619,C0027651,17,0,77,23690209,QB
139,614,615,microvascular change,fibroblast dysfunction,C0206064,C0031847,1,0,80,23690209,AQ
140,615,616,fibroblast dysfunction,fibrosis,C0031847,C0016059,3,0,80,23690209,QB
141,741,743,blood supply,intestinal,C0005839,C0021853,4,0,94,23690209,QB
142,767,769,anastomotic site,anastomosis,C0677554,C0332853,5,4,98,23690209,RO
143,950,952,esophageal atresia,trachea-esophageal fistula,C0014850,C0040588,4,4,117,23690209,RO
144,983,990,postoperative,post-operative,C0032790,C0032790,16,0,120,23690209,RQ
145,983,990,postoperative,post-operative,C0032790,C0032790,16,0,120,23690209,SY
146,1014,1018,anastomotic tension,anastomotic healing,C0677554,C0677554,11,0,123,23690209,SY
147,1171,1172,operation,surgeon,C0543467,C0582175,2,0,151,23690209,RO
148,1222,1225,postoperative course,post-operatively,C0032790,C0032790,9,0,158,23690209,RQ
149,1222,1225,postoperative course,post-operatively,C0032790,C0032790,9,0,158,23690209,SY
150,1262,1263,infectious,microbial,C0009450,C0445623,1,0,161,23690209,RO
151,1281,1286,human gastrointestinal tract,gi tract,C0017189,C0017189,14,0,164,23690209,RQ
152,1281,1286,human gastrointestinal tract,gi tract,C0017189,C0017189,14,0,164,23690209,SY
153,1281,1286,human gastrointestinal tract,gi tract,C0017189,C0017189,14,0,164,23690209,RO
154,1292,1293,food,nutrient processing,C0016452,C0678695,1,0,164,23690209,CHD
155,1310,1311,intestinal tissue,intestinal healing,C1708548,C0021853,5,0,167,23690209,RO
156,1325,1326,ligation,mesenteric blood vessel,C0023690,C0005847,3,0,169,23690209,RO
157,1331,1333,anastomotic site,anastomotic healing,C0677554,C0677554,7,4,170,23690209,SY
158,1416,1418,reduce,decrease,C0392756,C0205216,4,0,179,23690209,RO
159,1449,1451,anaerobic bacteria,Enterobacteriaceae,C0004613,C0014346,7,1,184,23690209,RO
160,1465,1467,radiotherapy,diarrhea,C0034619,C0011991,2,0,186,23690209,QB
161,1577,1578,microbiome,microbial,C1956108,C0445623,8,0,199,23690209,PAR
162,15,17,biomarker,marker,C0005516,C0005516,5,1,2,28401350,RQ
163,15,17,biomarker,marker,C0005516,C0005516,5,1,2,28401350,SY
164,30,31,pubmed,medline,C1138432,C0025141,1,0,4,28401350,CHD
165,30,31,pubmed,medline,C1138432,C0025141,1,0,4,28401350,RO
166,152,154,biomarker,marker,C0005516,C0005516,3,1,25,28401350,RQ
167,152,154,biomarker,marker,C0005516,C0005516,3,1,25,28401350,SY
168,493,494,gastric procedure,cholecystectomy,C0025664,C0008320,2,0,81,28401350,QB
169,686,687,false positive,result,C0205557,C0456984,1,3,114,28401350,PAR
170,767,770,regulate inflammation,inflammatory response,C0021368,C1155266,12,0,131,28401350,RN
171,772,777,peritoneal,peritonitis,C0031153,C0031154,16,0,132,28401350,RO
172,789,790,day,daily,C0439228,C0332173,3,0,134,28401350,RO
173,790,791,daily,day,C0332173,C0439228,3,0,134,28401350,RO
174,864,870,cytokine,il-10,C0079189,C0085295,17,0,151,28401350,CHD
175,864,870,cytokine,il-10,C0079189,C0085295,17,0,151,28401350,RN
176,891,893,tissue inhibitor,natural inhibitor,C0003015,C0003015,5,1,155,28401350,RQ
177,891,893,tissue inhibitor,natural inhibitor,C0003015,C0003015,5,1,155,28401350,SY
178,892,894,metalloproteinase,mmp,C0025543,C0623362,6,1,155,28401350,CHD
179,898,899,pathological process,inflammation,C0030660,C0021368,2,9,156,28401350,CHD
180,898,899,pathological process,inflammation,C0030660,C0021368,2,9,156,28401350,RN
181,909,911,mmp,mmp-13,C0623362,C1567335,7,1,158,28401350,CHD
182,910,912,mmp,mmp-13,C0623362,C1567335,5,1,158,28401350,CHD
183,911,913,mmp,mmp-13,C0623362,C1567335,4,1,158,28401350,CHD
184,912,914,mmp,mmp-13,C0623362,C1567335,3,1,158,28401350,CHD
185,936,937,mmp mmp,mmp,C0623362,C0623362,1,2,161,28401350,SY
186,936,938,mmp mmp,mmp,C0623362,C0623362,2,1,161,28401350,SY
187,34,36,treatment,thoracic aortic aneurysm,C0039798,C0162872,3,0,4,23541781,QB
188,70,73,aortic,aortotomy,C0003483,C0190267,6,0,12,23541781,RO
189,82,83,ascend aorta,aortic arch,C0003956,C0003489,3,1,14,23541781,RO
190,83,88,aortic arch,left subclavian artery,C0003489,C0226262,11,0,14,23541781,RO
191,83,88,aortic arch,left subclavian artery,C0003489,C0226262,11,0,14,23541781,RN
192,83,88,aortic arch,left subclavian artery,C0003489,C0226262,11,0,14,23541781,CHD
193,216,219,procedure,technique,C0025664,C0449851,13,0,41,23541781,RO
194,216,220,procedure,flanged graft technique,C0025664,C0449851,16,0,41,23541781,RO
195,221,223,technique,method,C0449851,C0025663,5,0,42,23541781,RO
196,275,277,procedure,technique,C0184661,C0449851,9,0,53,23541781,RO
197,280,285,everted suture,secure suture line,C0038969,C0038969,14,0,54,23541781,RQ
198,280,285,everted suture,secure suture line,C0038969,C0038969,14,0,54,23541781,SY
199,303,304,potential,risk,C3245505,C0035647,1,0,58,23541781,RO
200,333,335,flanged technique,procedure,C0025664,C0025664,4,0,63,23541781,SY
201,145,146,local ethic,committee,C0015000,C0085546,1,0,23,32785785,CHD
202,240,247,abdominal pain,treatment,C0000737,C0039798,17,3,37,32785785,AQ
203,241,247,fever,treatment,C0015967,C0039798,15,0,37,32785785,AQ
204,242,247,peritonitis,treatment,C0031154,C0039798,11,0,37,32785785,AQ
205,257,263,hemoglobin,red blood cell,C0019046,C0014792,9,0,38,32785785,RO
206,299,303,condition,infection index,C0012634,C0009450,11,0,42,32785785,CHD
207,299,303,condition,infection index,C0012634,C0009450,11,0,42,32785785,RN
208,301,302,blood biochemistry,blood routine,C0005774,C0005767,1,0,42,32785785,RO
209,301,302,blood biochemistry,blood routine,C0005774,C0005767,1,0,42,32785785,RB
210,329,330,drainage tube,passive drainage tube,C0184114,C2957717,2,0,47,32785785,RO
211,356,357,irrigate,irrigation,C0022100,C0022100,3,0,53,32785785,RQ
212,356,357,irrigate,irrigation,C0022100,C0022100,3,0,53,32785785,SY
213,358,361,catheter,suction catheter,C0085590,C0179788,10,0,53,32785785,RN
214,745,746,survival rate,mortality,C0038954,C0026565,6,0,105,32785785,PAR
215,760,761,sigmoid colon,rectum,C0227391,C0034896,2,0,107,32785785,RO
216,778,779,treatment,intestinal fistula,C0039798,C0021833,2,0,109,32785785,QB
217,790,793,infection,treatment,C0009450,C0039798,11,0,111,32785785,AQ
